symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
002003,2009.0,12,2,0,0,0,0
002003,2010.0,45,12,0,0,0,0
002003,2011.0,15,3,0,0,0,0
002004,2009.0,1,1,0,0,0,0
002004,2011.0,2,2,0,0,0,0
002004,2012.0,2,2,0,0,0,0
002004,2013.0,1,1,0,0,0,0
002004,2014.0,1,1,0,0,0,0
002004,2015.0,2,2,0,0,0,0
002004,2016.0,1,1,0,0,0,0
002004,2020.0,1,1,0,0,0,0
002004,2023.0,1,1,0,0,0,0
002005,2016.0,2,2,0,0,0,0
002006,2005.0,1,0,0,0,0,0
002006,2007.0,2,0,0,0,0,0
002007,2005.0,1,1,0,0,0,0
002010,2003.0,1,1,0,0,0,0
002010,2007.0,1,1,0,0,0,0
002010,2008.0,2,1,0,0,0,0
002010,2009.0,2,0,0,0,0,0
002013,2007.0,3,0,0,0,0,0
002013,2008.0,15,1,0,0,0,0
002013,2009.0,14,14,0,0,0,0
002013,2010.0,7,5,0,0,0,0
002013,2011.0,8,2,0,0,0,0
002014,2006.0,2,2,0,0,0,0
002014,2007.0,2,0,0,0,0,0
002014,2008.0,6,0,0,0,0,0
002014,2009.0,8,2,0,0,0,0
002014,2010.0,29,3,0,0,0,0
002014,2011.0,14,5,0,0,0,0
002015,2004.0,1,1,0,0,0,0
002015,2009.0,2,0,0,0,0,0
002015,2010.0,2,0,0,0,0,0
002019,2003.0,2,2,0,0,0,0
002019,2004.0,4,4,0,0,0,0
002019,2005.0,2,2,0,0,0,0
002019,2006.0,2,2,0,0,0,0
002019,2007.0,12,12,0,0,0,0
002019,2008.0,9,9,0,0,0,0
002019,2009.0,4,4,0,0,0,0
002019,2010.0,6,6,0,0,0,0
002020,2004.0,6,6,0,0,0,0
002020,2005.0,3,2,0,0,0,0
002020,2006.0,9,4,0,0,0,0
002020,2007.0,6,6,0,0,0,0
002020,2008.0,2,2,0,0,0,0
002020,2009.0,6,2,0,0,0,0
002020,2010.0,7,7,0,0,0,0
002020,2011.0,5,4,0,0,0,0
002020,2012.0,1,1,0,0,0,0
002020,2017.0,2,2,0,0,0,0
002020,2018.0,2,2,0,0,0,0
002020,2019.0,3,3,0,0,0,0
002020,2020.0,4,4,0,0,0,0
002020,2021.0,2,2,0,0,0,0
002020,2022.0,3,3,0,0,0,0
002020,2023.0,2,2,0,0,0,0
002020,2024.0,1,1,0,0,0,0
002021,2006.0,12,0,0,0,0,0
002021,2007.0,17,1,0,0,0,0
002021,2008.0,26,0,0,0,0,0
002021,2009.0,17,0,0,0,0,0
002021,2011.0,24,4,0,0,0,0
002022,2006.0,4,0,0,0,0,0
002022,2007.0,5,2,0,0,0,0
002022,2008.0,9,3,0,0,0,0
002022,2009.0,5,2,0,0,0,0
002022,2010.0,26,4,0,0,0,0
002022,2011.0,5,3,0,0,0,0
002025,2004.0,2,0,0,0,0,0
002025,2005.0,1,0,0,0,0,0
002025,2006.0,6,0,0,0,0,0
002025,2007.0,36,0,0,0,0,0
002025,2008.0,73,0,0,0,0,0
002025,2009.0,11,1,0,0,0,0
002025,2013.0,2,2,0,0,0,0
002026,2010.0,12,4,0,0,0,0
002026,2011.0,7,5,0,0,0,0
002026,2016.0,1,0,0,0,0,0
002030,2007.0,1,0,0,0,0,0
002030,2008.0,4,4,0,0,0,0
002030,2009.0,1,1,0,0,0,0
002030,2010.0,15,14,0,0,0,0
002030,2011.0,10,10,0,0,0,0
002030,2012.0,18,16,0,0,0,0
002030,2014.0,2,2,0,0,0,0
002030,2015.0,3,2,0,0,0,0
